Date,Gold,USD_Index,EUR_USD,SP_500,Oil,Bitcoin,Vix,CPI,Unemployment_Rate,GPD,US_Interest_Rate,Zinsen,Gold_ETFs,M2_Euro,M2_US,GPRD,DOW,MOY,Stunde_des_Tages,Jahr,Volles_Datum
2018-09-22,1196.199951171875,94.22000122070312,1.1775927543640137,2929.669921875,70.77999877929688,6721.97998046875,11.680000305175781,252.75119999999998,3.77,20906.21229347826,2.118,2.118,10.83,10876141000000.0,14237.77,37.80805969238281,5,9,0,2018,2018-09-22
2018-09-23,1196.199951171875,94.22000122070312,1.1775927543640137,2929.669921875,70.77999877929688,6710.6298828125,11.680000305175781,252.76606666666666,3.7733333333333334,20907.507260869563,2.126,2.126,10.9,10876141000000.0,14238.173333333332,27.95415687561035,6,9,0,2018,2018-09-23
2018-09-24,1199.300048828125,94.26000213623047,1.1751019954681396,2919.3701171875,72.08000183105469,6595.41015625,12.199999809265137,252.78093333333334,3.7766666666666664,20908.80222826087,2.134,2.134,10.97,10876141000000.0,14238.576666666666,143.44000244140625,0,9,0,2018,2018-09-24
2018-09-25,1200.0,94.12999725341797,1.175295352935791,2915.56005859375,72.27999877929688,6446.47021484375,12.420000076293945,252.79579999999999,3.78,20910.09719565217,2.142,2.142,10.83,10876141000000.0,14238.98,95.44012451171875,1,9,0,2018,2018-09-25
2018-09-26,1194.0,94.19000244140625,1.1763184070587158,2905.969970703125,71.56999969482422,6495.0,12.890000343322754,252.81066666666666,3.783333333333333,20911.392163043478,2.15,2.15,10.76,10876141000000.0,14239.383333333333,110.15664672851562,2,9,0,2018,2018-09-26
2018-09-27,1182.300048828125,95.0,1.1748534440994263,2914.0,72.12000274658203,6676.75,12.40999984741211,252.8255333333333,3.7866666666666666,20912.68713043478,2.158,2.158,10.86,10876141000000.0,14239.786666666667,73.69881439208984,3,9,0,2018,2018-09-27
2018-09-28,1191.5,95.19000244140625,1.1637378931045532,2913.97998046875,73.25,6644.1298828125,12.119999885559082,252.8404,3.79,20913.982097826087,2.166,2.166,10.74,10876141000000.0,14240.189999999999,81.45658111572266,4,9,0,2018,2018-09-28
2018-09-29,1191.5,95.19000244140625,1.1637378931045532,2913.97998046875,73.25,6601.9599609375,12.119999885559082,252.85526666666667,3.793333333333333,20915.27706521739,2.174,2.174,10.836666666666666,10876141000000.0,14240.593333333332,44.05010223388672,5,9,0,2018,2018-09-29
2018-09-30,1191.5,95.19000244140625,1.1637378931045532,2913.97998046875,73.25,6625.56005859375,12.119999885559082,252.8701333333333,3.7966666666666664,20916.572032608696,2.182,2.182,10.933333333333334,10876141000000.0,14240.996666666666,36.24253463745117,6,9,0,2018,2018-09-30
2018-10-01,1187.0999755859375,95.30000305175781,1.1605371236801147,2924.590087890625,75.30000305175781,6589.6201171875,12.0,252.885,3.8,20917.867,2.19,2.19,11.03,10876141000000.0,14241.4,120.77069091796875,0,10,0,2018,2018-10-01
2018-10-02,1202.4000244140625,95.51000213623047,1.157755732536316,2923.429931640625,75.2300033569336,6556.10009765625,12.050000190734863,252.85767741935484,3.8,20919.97279347826,2.1903225806451614,2.1903225806451614,11.24,10876141000000.0,14242.025806451613,36.00617218017578,1,10,0,2018,2018-10-02
2018-10-03,1198.300048828125,95.76000213623047,1.1551746129989624,2925.510009765625,76.41000366210938,6502.58984375,11.609999656677246,252.83035483870967,3.8,20922.07858695652,2.1906451612903224,2.1906451612903224,11.21,10876141000000.0,14242.651612903226,94.41998291015625,2,10,0,2018,2018-10-03
2018-10-04,1197.199951171875,95.75,1.147631287574768,2901.610107421875,74.33000183105469,6576.68994140625,14.220000267028809,252.80303225806452,3.8,20924.18438043478,2.190967741935484,2.190967741935484,11.59,10876141000000.0,14243.277419354838,69.01182556152344,3,10,0,2018,2018-10-04
2018-10-05,1201.199951171875,95.62000274658203,1.1518083810806274,2885.570068359375,74.33999633789062,6622.47998046875,14.819999694824219,252.77570967741934,3.8,20926.290173913043,2.1912903225806453,2.1912903225806453,11.64,10876141000000.0,14243.90322580645,78.21883392333984,4,10,0,2018,2018-10-05
2018-10-06,1201.199951171875,95.62000274658203,1.1518083810806274,2885.570068359375,74.33999633789062,6588.31005859375,14.819999694824219,252.7483870967742,3.8,20928.3959673913,2.1916129032258063,2.1916129032258063,11.92,10876141000000.0,14244.529032258064,50.7187385559082,5,10,0,2018,2018-10-06
2018-10-07,1201.199951171875,95.62000274658203,1.1518083810806274,2885.570068359375,74.33999633789062,6602.9501953125,14.819999694824219,252.72106451612902,3.8,20930.501760869563,2.1919354838709677,2.1919354838709677,12.200000000000001,10876141000000.0,14245.154838709677,42.559757232666016,6,10,0,2018,2018-10-07
2018-10-08,1184.4000244140625,95.7699966430664,1.1522595882415771,2884.429931640625,74.29000091552734,6652.22998046875,15.6899995803833,252.69374193548387,3.8,20932.607554347825,2.192258064516129,2.192258064516129,12.48,10876141000000.0,14245.78064516129,49.10814666748047,0,10,0,2018,2018-10-08
2018-10-09,1187.199951171875,95.68000030517578,1.1494120359420776,2880.340087890625,74.95999908447266,6642.64013671875,15.949999809265137,252.6664193548387,3.8,20934.713347826084,2.19258064516129,2.19258064516129,12.03,10876141000000.0,14246.406451612902,95.87750244140625,1,10,0,2018,2018-10-09
2018-10-10,1189.300048828125,95.51000213623047,1.1506949663162231,2785.679931640625,73.16999816894531,6585.52978515625,22.959999084472656,252.63909677419355,3.8,20936.819141304346,2.1929032258064516,2.1929032258064516,12.51,10876141000000.0,14247.032258064515,104.19609832763672,2,10,0,2018,2018-10-10
2018-10-11,1223.5,95.0199966430664,1.1533360481262207,2728.3701171875,70.97000122070312,6256.240234375,24.979999542236328,252.61177419354837,3.8,20938.924934782608,2.193225806451613,2.193225806451613,13.57,10876141000000.0,14247.658064516128,130.70550537109375,3,10,0,2018,2018-10-11
2018-10-12,1218.0999755859375,95.22000122070312,1.1590440273284912,2767.1298828125,71.33999633789062,6274.580078125,21.309999465942383,252.58445161290322,3.8,20941.030728260866,2.193548387096774,2.193548387096774,12.76,10876141000000.0,14248.283870967742,87.06867980957031,4,10,0,2018,2018-10-12
2018-10-13,1218.0999755859375,95.22000122070312,1.1590440273284912,2767.1298828125,71.33999633789062,6285.990234375,21.309999465942383,252.55712903225808,3.8,20943.13652173913,2.1938709677419355,2.1938709677419355,12.883333333333333,10876141000000.0,14248.909677419355,48.09535598754883,5,10,0,2018,2018-10-13
2018-10-14,1218.0999755859375,95.22000122070312,1.1590440273284912,2767.1298828125,71.33999633789062,6290.93017578125,21.309999465942383,252.5298064516129,3.8,20945.24231521739,2.194193548387097,2.194193548387097,13.006666666666668,10876141000000.0,14249.535483870966,81.79179382324219,6,10,0,2018,2018-10-14
2018-10-15,1226.4000244140625,95.06999969482422,1.1551345586776733,2750.7900390625,71.77999877929688,6596.5400390625,21.299999237060547,252.50248387096775,3.8,20947.34810869565,2.194516129032258,2.194516129032258,13.13,10876141000000.0,14250.16129032258,122.86271667480469,0,10,0,2018,2018-10-15
2018-10-16,1227.300048828125,95.05000305175781,1.1583458185195923,2809.919921875,71.91999816894531,6596.10986328125,17.6200008392334,252.47516129032257,3.8,20949.45390217391,2.1948387096774193,2.1948387096774193,12.2,10876141000000.0,14250.787096774193,134.61813354492188,1,10,0,2018,2018-10-16
2018-10-17,1223.699951171875,95.58000183105469,1.1575279235839844,2809.2099609375,69.75,6544.43017578125,17.399999618530273,252.44783870967743,3.8,20951.559695652173,2.195161290322581,2.195161290322581,12.14,10876141000000.0,14251.412903225806,117.82046508789062,2,10,0,2018,2018-10-17
2018-10-18,1226.5,95.9000015258789,1.1500862836837769,2768.780029296875,68.6500015258789,6476.7099609375,20.059999465942383,252.42051612903225,3.8,20953.66548913043,2.1954838709677422,2.1954838709677422,12.23,10876141000000.0,14252.03870967742,127.05738830566406,3,10,0,2018,2018-10-18
2018-10-19,1225.300048828125,95.70999908447266,1.1460003852844238,2767.780029296875,69.12000274658203,6465.41015625,19.889999389648438,252.3931935483871,3.8,20955.771282608694,2.195806451612903,2.195806451612903,11.76,10876141000000.0,14252.664516129033,106.1982192993164,4,10,0,2018,2018-10-19
2018-10-20,1225.300048828125,95.70999908447266,1.1460003852844238,2767.780029296875,69.12000274658203,6489.18994140625,19.889999389648438,252.36587096774193,3.8,20957.877076086956,2.1961290322580647,2.1961290322580647,11.733333333333333,10876141000000.0,14253.290322580644,86.23381042480469,5,10,0,2018,2018-10-20
2018-10-21,1225.300048828125,95.70999908447266,1.1460003852844238,2767.780029296875,69.12000274658203,6482.35009765625,19.889999389648438,252.33854838709678,3.8,20959.982869565214,2.196451612903226,2.196451612903226,11.706666666666667,10876141000000.0,14253.916129032257,35.09075927734375,6,10,0,2018,2018-10-21
2018-10-22,1221.199951171875,96.01000213623047,1.1509466171264648,2755.8798828125,69.16999816894531,6487.16015625,19.639999389648438,252.31122580645163,3.8,20962.088663043476,2.196774193548387,2.196774193548387,11.68,10876141000000.0,14254.54193548387,83.91838073730469,0,10,0,2018,2018-10-22
2018-10-23,1233.4000244140625,95.95999908447266,1.1467890739440918,2740.68994140625,66.43000030517578,6475.740234375,20.709999084472656,252.28390322580645,3.8,20964.194456521738,2.1970967741935485,2.1970967741935485,12.31,10876141000000.0,14255.167741935484,108.8228530883789,1,10,0,2018,2018-10-23
2018-10-24,1227.800048828125,96.43000030517578,1.147315263748169,2656.10009765625,66.81999969482422,6495.83984375,25.229999542236328,252.2565806451613,3.8,20966.30025,2.19741935483871,2.19741935483871,13.11,10876141000000.0,14255.793548387097,127.58169555664062,2,10,0,2018,2018-10-24
2018-10-25,1229.0999755859375,96.68000030517578,1.1399258375167847,2705.570068359375,67.33000183105469,6476.2900390625,24.219999313354492,252.22925806451613,3.8,20968.40604347826,2.197741935483871,2.197741935483871,12.3,10876141000000.0,14256.419354838708,141.05126953125,3,10,0,2018,2018-10-25
2018-10-26,1232.5,96.36000061035156,1.1377859115600586,2658.68994140625,67.58999633789062,6474.75,24.15999984741211,252.20193548387098,3.8,20970.51183695652,2.1980645161290324,2.1980645161290324,12.92,10876141000000.0,14257.045161290322,159.10116577148438,4,10,0,2018,2018-10-26
2018-10-27,1232.5,96.36000061035156,1.1377859115600586,2658.68994140625,67.58999633789062,6480.3798828125,24.15999984741211,252.1746129032258,3.8,20972.617630434783,2.198387096774194,2.198387096774194,12.94,10876141000000.0,14257.670967741935,94.45203399658203,5,10,0,2018,2018-10-27
2018-10-28,1232.5,96.36000061035156,1.1377859115600586,2658.68994140625,67.58999633789062,6486.39013671875,24.15999984741211,252.14729032258066,3.8,20974.72342391304,2.198709677419355,2.198709677419355,12.96,10876141000000.0,14258.296774193548,51.074832916259766,6,10,0,2018,2018-10-28
2018-10-29,1224.5,96.58000183105469,1.1398738622665405,2641.25,67.04000091552734,6332.6298828125,24.700000762939453,252.11996774193548,3.8,20976.829217391303,2.1990322580645163,2.1990322580645163,12.98,10876141000000.0,14258.922580645161,94.36099243164062,0,10,0,2018,2018-10-29
2018-10-30,1222.5999755859375,97.01000213623047,1.137617588043213,2682.6298828125,66.18000030517578,6334.27001953125,23.350000381469727,252.09264516129033,3.8,20978.935010869565,2.1993548387096777,2.1993548387096777,12.3,10876141000000.0,14259.548387096773,109.74150848388672,1,10,0,2018,2018-10-30
2018-10-31,1212.300048828125,97.12999725341797,1.1346358060836792,2711.739990234375,65.30999755859375,6317.60986328125,21.229999542236328,252.06532258064516,3.8,20981.040804347824,2.1996774193548387,2.1996774193548387,12.08,10876141000000.0,14260.174193548386,81.52692413330078,2,10,0,2018,2018-10-31
2018-11-01,1236.0,96.27999877929688,1.1316697597503662,2740.3701171875,63.689998626708984,6377.77978515625,19.34000015258789,252.038,3.8,20983.146597826086,2.2,2.2,12.6,10876141000000.0,14260.8,101.45014190673828,3,11,0,2018,2018-11-01
2018-11-02,1230.9000244140625,96.54000091552734,1.1403288841247559,2723.06005859375,63.13999938964844,6388.43994140625,19.510000228881836,252.01116666666667,3.8033333333333332,20985.252391304348,2.2023333333333337,2.2023333333333337,12.5,10876141000000.0,14264.859999999999,103.39347076416016,4,11,0,2018,2018-11-02
2018-11-03,1230.9000244140625,96.54000091552734,1.1403288841247559,2723.06005859375,63.13999938964844,6361.259765625,19.510000228881836,251.98433333333335,3.8066666666666666,20987.358184782606,2.2046666666666668,2.2046666666666668,12.463333333333333,10876141000000.0,14268.92,47.92141342163086,5,11,0,2018,2018-11-03
2018-11-04,1230.9000244140625,96.54000091552734,1.1403288841247559,2723.06005859375,63.13999938964844,6376.1298828125,19.510000228881836,251.9575,3.8099999999999996,20989.46397826087,2.2070000000000003,2.2070000000000003,12.426666666666668,10876141000000.0,14272.98,44.33646774291992,6,11,0,2018,2018-11-04
2018-11-05,1229.800048828125,96.3499984741211,1.1397570371627808,2738.31005859375,63.099998474121094,6419.66015625,19.959999084472656,251.93066666666667,3.813333333333333,20991.56977173913,2.2093333333333334,2.2093333333333334,12.39,10876141000000.0,14277.039999999999,114.6827621459961,0,11,0,2018,2018-11-05
2018-11-06,1223.800048828125,96.31999969482422,1.141291856765747,2755.449951171875,62.209999084472656,6461.009765625,19.90999984741211,251.90383333333335,3.8166666666666664,20993.67556521739,2.211666666666667,2.211666666666667,12.47,10876141000000.0,14281.099999999999,62.58562469482422,1,11,0,2018,2018-11-06
2018-11-07,1226.199951171875,96.0,1.1438506841659546,2813.889892578125,61.66999816894531,6530.14013671875,16.360000610351562,251.877,3.82,20995.78135869565,2.214,2.214,11.23,10876141000000.0,14285.16,140.43304443359375,2,11,0,2018,2018-11-07
2018-11-08,1222.9000244140625,96.63999938964844,1.1434059143066406,2806.830078125,60.66999816894531,6453.72021484375,16.719999313354492,251.85016666666667,3.8233333333333333,20997.887152173913,2.2163333333333335,2.2163333333333335,11.41,10876141000000.0,14289.22,60.81825637817383,3,11,0,2018,2018-11-08
